;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16
8365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8366;0;0;0;110494.54473894858;0;0;0;0;0;0;0;110494.54473894858;0;110494.54473894858;110494.54473894858
8367;0;0;0;0;0;0;0;0;108580.10732435231;0;0;0;0;0;0
8368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8372;0;0;0;0;0;0;0;0;109829.43043302248;0;0;0;0;0;0
8373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8375;106238.83010061046;106238.83010061046;106238.83010061046;110298.04803925783;106238.83010061046;106238.83010061046;106238.83010061046;106238.83010061046;0;106238.83010061046;106238.83010061046;110298.04803925783;106238.83010061046;110298.04803925783;110298.04803925783
8376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8377;0;0;0;0;0;0;0;0;106182.9045008297;0;0;0;0;0;0
8378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8383;0;0;0;0;0;0;0;0;107395.85457164112;0;0;0;0;0;0
8384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8385;0;0;0;101179.72669493829;0;0;0;0;0;0;0;101179.72669493829;0;101179.72669493829;101179.72669493829
8386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8391;0;0;0;0;0;0;0;0;110863.23296677001;0;0;0;0;0;0
8392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8397;103335.21556203022;103335.21556203022;103335.21556203022;0;103335.21556203022;103335.21556203022;103335.21556203022;103335.21556203022;0;103335.21556203022;103335.21556203022;0;103335.21556203022;0;0
8398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8404;0;0;0;101163.67333209938;0;0;0;0;101128.22856027778;0;0;101163.67333209938;0;101163.67333209938;101163.67333209938
8405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8425;0;0;0;0;0;0;0;0;113237.0817963888;0;0;0;0;0;0
8426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8429;0;0;0;103666.56256476109;0;0;0;0;0;0;0;103666.56256476109;0;103666.56256476109;103666.56256476109
8430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8431;0;0;0;0;0;0;0;0;109343.32970706592;0;0;0;0;0;0
8432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8434;105286.72879860898;105286.72879860898;105286.72879860898;0;105286.72879860898;105286.72879860898;105286.72879860898;105286.72879860898;0;105286.72879860898;105286.72879860898;0;105286.72879860898;0;0
8435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8436;0;0;0;0;0;0;0;0;108339.60633002981;0;0;0;0;0;0
8437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8438;0;0;0;109749.23492807648;0;0;0;0;0;0;0;109749.23492807648;0;109749.23492807648;109749.23492807648
8439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8441;0;0;0;0;0;0;0;0;120831.89441390386;0;0;0;0;0;0
8442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8446;0;0;0;101342.38449760569;0;0;0;0;108986.01183845631;0;0;101342.38449760569;0;101342.38449760569;101342.38449760569
8447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8448;109394.03096652486;109394.03096652486;109394.03096652486;0;109394.03096652486;109394.03096652486;109394.03096652486;109394.03096652486;0;109394.03096652486;109394.03096652486;0;109394.03096652486;0;0
8449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8450;0;0;0;0;0;0;0;0;122392.32976864651;0;0;0;0;0;0
8451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8452;0;0;0;106114.39684384105;0;0;0;0;0;0;0;106114.39684384105;0;106114.39684384105;106114.39684384105
8453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8454;0;0;0;0;0;0;0;0;134457.54539981345;0;0;0;0;0;0
8455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8457;0;0;0;0;0;0;0;0;103674.53840022426;0;0;0;0;0;0
8458;109438.97913273133;109438.97913273133;109438.97913273133;115990.58970488877;109438.97913273133;109438.97913273133;109438.97913273133;109438.97913273133;0;109438.97913273133;109438.97913273133;115990.58970488877;109438.97913273133;115990.58970488877;115990.58970488877
8459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8460;0;0;0;0;0;0;0;0;104731.99829641062;0;0;0;0;0;0
8461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8463;0;0;0;0;0;0;0;0;106243.03349466629;0;0;0;0;0;0
8464;0;0;0;119108.20976839306;0;0;0;0;0;0;0;119108.20976839306;0;119108.20976839306;119108.20976839306
8465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8466;0;0;0;0;0;0;0;0;106394.20187917903;0;0;0;0;0;0
8467;103177.68707010683;103177.68707010683;103177.68707010683;0;103177.68707010683;103177.68707010683;103177.68707010683;103177.68707010683;0;103177.68707010683;103177.68707010683;0;103177.68707010683;0;0
8468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8469;0;0;0;0;0;0;0;0;101007.93898874383;0;0;0;0;0;0
8470;0;0;0;112851.43508913025;0;0;0;0;0;0;0;112851.43508913025;0;112851.43508913025;112851.43508913025
8471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8473;0;0;0;0;0;0;0;0;102881.50034676227;0;0;0;0;0;0
8474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8479;0;0;0;0;0;0;0;0;105316.55021102706;0;0;0;0;0;0
8480;0;0;0;107299.2319125803;0;0;0;0;0;0;0;107299.2319125803;0;107299.2319125803;107299.2319125803
8481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8483;102076.76706775327;102076.76706775327;102076.76706775327;0;102076.76706775327;102076.76706775327;102076.76706775327;102076.76706775327;0;102076.76706775327;102076.76706775327;0;102076.76706775327;0;0
8484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8519;0;0;0;0;0;0;0;0;102041.30265082377;0;0;0;0;0;0
8520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8524;0;0;0;102530.59264158129;0;0;0;0;0;0;0;102530.59264158129;0;102530.59264158129;102530.59264158129
8525;0;0;0;0;0;0;0;0;114480.35887495082;0;0;0;0;0;0
8526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8530;0;0;0;0;0;0;0;0;117980.69769274835;0;0;0;0;0;0
8531;103948.0417134111;103948.0417134111;103948.0417134111;0;103948.0417134111;103948.0417134111;103948.0417134111;103948.0417134111;0;103948.0417134111;103948.0417134111;0;103948.0417134111;0;0
8532;0;0;0;107612.02785674477;0;0;0;0;0;0;0;107612.02785674477;0;107612.02785674477;107612.02785674477
8533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8534;0;0;0;0;0;0;0;0;106582.34230262315;0;0;0;0;0;0
8535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8538;0;0;0;0;0;0;0;0;115258.968243833;0;0;0;0;0;0
8539;0;0;0;111962.6736727185;0;0;0;0;0;0;0;111962.6736727185;0;111962.6736727185;111962.6736727185
8540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8542;102520.58082179866;102520.58082179866;102520.58082179866;0;102520.58082179866;102520.58082179866;102520.58082179866;102520.58082179866;119325.3272643071;102520.58082179866;102520.58082179866;0;102520.58082179866;0;0
8543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8545;0;0;0;101728.85371080185;0;0;0;0;0;0;0;101728.85371080185;0;101728.85371080185;101728.85371080185
8546;0;0;0;0;0;0;0;0;122288.91096640575;0;0;0;0;0;0
8547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8550;0;0;0;0;0;0;0;0;126510.30685503122;0;0;0;0;0;0
8551;0;0;0;106478.57733163564;0;0;0;0;0;0;0;106478.57733163564;0;106478.57733163564;106478.57733163564
8552;101746.54149748903;101746.54149748903;101746.54149748903;0;101746.54149748903;101746.54149748903;101746.54149748903;101746.54149748903;0;101746.54149748903;101746.54149748903;0;101746.54149748903;0;0
8553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8554;0;0;0;0;0;0;0;0;129074.52156733797;0;0;0;0;0;0
8555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8557;0;0;0;109760.5326624108;0;0;0;0;0;0;0;109760.5326624108;0;109760.5326624108;109760.5326624108
8558;0;0;0;0;0;0;0;0;131337.83179632938;0;0;0;0;0;0
8559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8562;106221.91406521588;106221.91406521588;106221.91406521588;0;106221.91406521588;106221.91406521588;106221.91406521588;106221.91406521588;130583.64332599103;106221.91406521588;106221.91406521588;0;106221.91406521588;0;0
8563;0;0;0;109364.8876909755;0;0;0;0;0;0;0;109364.8876909755;0;109364.8876909755;109364.8876909755
8564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8566;0;0;0;0;0;0;0;0;113660.65982144693;0;0;0;0;0;0
8567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8572;0;0;0;104600.26492603029;0;0;0;0;103723.23864823158;0;0;104600.26492603029;0;104600.26492603029;104600.26492603029
8573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8625;103670.34162039374;103670.34162039374;103670.34162039374;0;103670.34162039374;103670.34162039374;103670.34162039374;103670.34162039374;101895.66417967844;103670.34162039374;103670.34162039374;0;103670.34162039374;0;0
8626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8631;0;0;0;108978.53883529724;0;0;0;0;0;0;0;108978.53883529724;0;108978.53883529724;108978.53883529724
8632;0;0;0;0;0;0;0;0;109190.60238246295;0;0;0;0;0;0
8633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8638;0;0;0;0;0;0;0;0;103209.42215194664;0;0;0;0;0;0
8639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8642;0;0;0;104880.4235683605;0;0;0;0;0;0;0;104880.4235683605;0;104880.4235683605;104880.4235683605
8643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8645;104394.66318242211;104394.66318242211;104394.66318242211;0;104394.66318242211;104394.66318242211;104394.66318242211;104394.66318242211;109342.76691933775;104394.66318242211;104394.66318242211;0;104394.66318242211;0;0
8646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8651;0;0;0;0;0;0;0;0;120716.79608620134;0;0;0;0;0;0
8652;0;0;0;104954.46415211882;0;0;0;0;0;0;0;104954.46415211882;0;104954.46415211882;104954.46415211882
8653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8656;0;0;0;0;0;0;0;0;116328.51678010622;0;0;0;0;0;0
8657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8660;103320.35725220187;103320.35725220187;103320.35725220187;0;103320.35725220187;103320.35725220187;103320.35725220187;103320.35725220187;0;103320.35725220187;103320.35725220187;0;103320.35725220187;0;0
8661;0;0;0;108114.50185895701;0;0;0;0;0;0;0;108114.50185895701;0;108114.50185895701;108114.50185895701
8662;0;0;0;0;0;0;0;0;117868.32692317347;0;0;0;0;0;0
8663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8668;0;0;0;0;0;0;0;0;107493.43434968524;0;0;0;0;0;0
8669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8672;0;0;0;109106.46171545923;0;0;0;0;0;0;0;109106.46171545923;0;109106.46171545923;109106.46171545923
8673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8674;0;0;0;0;0;0;0;0;100820.11146356826;0;0;0;0;0;0
8675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8679;104161.68237220173;104161.68237220173;104161.68237220173;0;104161.68237220173;104161.68237220173;104161.68237220173;104161.68237220173;0;104161.68237220173;104161.68237220173;0;104161.68237220173;0;0
8680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8681;0;0;0;0;0;0;0;0;106602.24557344201;0;0;0;0;0;0
8682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8684;0;0;0;103057.78248844683;0;0;0;0;0;0;0;103057.78248844683;0;103057.78248844683;103057.78248844683
8685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8688;0;0;0;0;0;0;0;0;106453.3213900939;0;0;0;0;0;0
8689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8695;0;0;0;0;0;0;0;0;112073.96945463543;0;0;0;0;0;0
8696;0;0;0;107250.51307566509;0;0;0;0;0;0;0;107250.51307566509;0;107250.51307566509;107250.51307566509
8697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8699;103389.06683944896;103389.06683944896;103389.06683944896;0;103389.06683944896;103389.06683944896;103389.06683944896;103389.06683944896;0;103389.06683944896;103389.06683944896;0;103389.06683944896;0;0
8700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8701;0;0;0;0;0;0;0;0;104853.11118497976;0;0;0;0;0;0
8702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8706;0;0;0;104762.78931912356;0;0;0;0;0;0;0;104762.78931912356;0;104762.78931912356;104762.78931912356
8707;0;0;0;0;0;0;0;0;121010.60371700778;0;0;0;0;0;0
8708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8712;0;0;0;0;0;0;0;0;118830.87717338385;0;0;0;0;0;0
8713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8714;105765.46055162282;105765.46055162282;105765.46055162282;107385.31765146246;105765.46055162282;105765.46055162282;105765.46055162282;105765.46055162282;0;105765.46055162282;105765.46055162282;107385.31765146246;105765.46055162282;107385.31765146246;107385.31765146246
8715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8716;0;0;0;0;0;0;0;0;101871.91539721325;0;0;0;0;0;0
8717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8720;0;0;0;0;0;0;0;0;108085.98524484916;0;0;0;0;0;0
8721;0;0;0;105389.63629747968;0;0;0;0;0;0;0;105389.63629747968;0;105389.63629747968;105389.63629747968
8722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8724;0;0;0;0;0;0;0;0;115610.4013678102;0;0;0;0;0;0
