;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16
72;0;0;0;0;0;0;0;0;122841.48187701532;0;0;0;0;0;0
73;0;0;0;103452.85099746907;0;0;0;0;0;0;0;103452.85099746907;0;103452.85099746907;103452.85099746907
74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;109310.96977989201;109310.96977989201;109310.96977989201;0;109310.96977989201;109310.96977989201;109310.96977989201;109310.96977989201;0;109310.96977989201;109310.96977989201;0;109310.96977989201;0;0
76;0;0;0;0;0;0;0;0;122640.50844001379;0;0;0;0;0;0
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;0;0;0;104527.36949552047;0;0;0;0;0;0;0;104527.36949552047;0;104527.36949552047;104527.36949552047
80;0;0;0;0;0;0;0;0;126359.66927657036;0;0;0;0;0;0
81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;0;0;0;0;0;0;0;0;127264.37530524618;0;0;0;0;0;0
85;102631.23771943885;102631.23771943885;102631.23771943885;107298.81642087366;102631.23771943885;102631.23771943885;102631.23771943885;102631.23771943885;0;102631.23771943885;102631.23771943885;107298.81642087366;102631.23771943885;107298.81642087366;107298.81642087366
86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;0;0;0;0;0;0;0;0;125856.77221413482;0;0;0;0;0;0
89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;0;0;0;105375.49416726698;0;0;0;0;0;0;0;105375.49416726698;0;105375.49416726698;105375.49416726698
92;0;0;0;0;0;0;0;0;124047.4719928414;0;0;0;0;0;0
93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;101385.59690979755;101385.59690979755;101385.59690979755;0;101385.59690979755;101385.59690979755;101385.59690979755;101385.59690979755;0;101385.59690979755;101385.59690979755;0;101385.59690979755;0;0
96;0;0;0;0;0;0;0;0;125153.14285648828;0;0;0;0;0;0
97;0;0;0;105375.55505936134;0;0;0;0;0;0;0;105375.55505936134;0;105375.55505936134;105375.55505936134
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;0;0;0;0;0;0;0;0;126862.154396172;0;0;0;0;0;0
101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;0;0;0;107581.69732953265;0;0;0;0;0;0;0;107581.69732953265;0;107581.69732953265;107581.69732953265
104;0;0;0;0;0;0;0;0;128672.22737150078;0;0;0;0;0;0
105;103876.88481570315;103876.88481570315;103876.88481570315;0;103876.88481570315;103876.88481570315;103876.88481570315;103876.88481570315;0;103876.88481570315;103876.88481570315;0;103876.88481570315;0;0
106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;0;0;0;0;0;0;0;0;130080.3273743445;0;0;0;0;0;0
