10.313;0.000;10.313
10.038;0.000;10.038
9.713;0.000;9.713
10.600;0.000;10.600
11.213;0.000;11.213
11.063;0.000;11.063
11.125;0.000;11.125
11.000;0.000;11.000
10.925;0.000;10.925
11.175;0.000;11.175
11.113;0.000;11.113
10.488;0.000;10.488
10.525;0.000;10.525
10.075;0.000;10.075
8.950;0.000;8.950
8.563;0.000;8.563
7.638;0.000;7.638
8.250;0.000;8.250
8.213;0.000;8.213
7.813;0.000;7.813
7.013;0.000;7.013
7.975;0.000;7.975
8.075;0.000;8.075
8.625;0.000;8.625
8.400;0.000;8.400
8.463;0.000;8.463
8.500;0.000;8.500
8.550;0.000;8.550
8.488;0.000;8.488
8.450;0.000;8.450
8.138;0.000;8.138
7.775;0.000;7.775
8.413;0.000;8.413
8.325;0.000;8.325
7.938;0.000;7.938
6.975;0.000;6.975
6.913;0.000;6.913
5.413;0.000;5.413
4.388;0.000;4.388
4.350;0.000;4.350
4.400;0.000;4.400
4.313;0.000;4.313
4.413;0.000;4.413
4.413;0.000;4.413
4.438;0.000;4.438
4.513;0.000;4.513
4.450;0.000;4.450
3.375;0.000;3.375
4.450;0.000;4.450
4.513;0.000;4.513
3.388;0.000;3.388
4.400;0.000;4.400
3.325;0.000;3.325
4.475;0.000;4.475
3.238;0.000;3.238
3.225;0.000;3.225
4.363;0.000;4.363
3.250;0.000;3.250
3.663;0.000;3.663
4.013;0.000;4.013
3.400;0.000;3.400
4.375;0.000;4.375
3.350;0.000;3.350
4.388;0.000;4.388
3.288;0.000;3.288
3.988;0.000;3.988
3.863;0.000;3.863
3.200;0.000;3.200
3.413;0.000;3.413
4.025;0.000;4.025
3.313;0.000;3.313
3.075;0.000;3.075
3.000;0.000;3.000
2.938;0.000;2.938
2.963;0.000;2.963
3.350;0.000;3.350
3.213;0.000;3.213
3.200;0.000;3.200
3.088;0.000;3.088
3.125;0.000;3.125
3.063;0.000;3.063
2.988;0.000;2.988
2.963;0.000;2.963
3.225;0.000;3.225
5.438;0.000;5.438
5.500;0.000;5.500
5.488;0.000;5.488
5.525;0.000;5.525
5.575;0.000;5.575
5.413;0.000;5.413
7.000;0.000;7.000
7.438;0.000;7.438
8.213;0.000;8.213
8.788;0.000;8.788
9.563;0.000;9.563
9.213;0.000;9.213
8.988;0.000;8.988
9.938;0.000;9.938
9.138;0.000;9.138
7.938;0.000;7.938
7.950;0.000;7.950
8.538;0.000;8.538
8.050;0.000;8.050
7.313;0.000;7.313
7.800;0.000;7.800
8.313;0.000;8.313
7.650;0.000;7.650
7.175;0.000;7.175
7.213;0.000;7.213
7.013;0.000;7.013
6.600;0.000;6.600
6.263;0.000;6.263
6.275;0.000;6.275
5.600;0.000;5.600
6.288;0.000;6.288
7.563;0.000;7.563
6.825;0.000;6.825
7.013;0.000;7.013
8.000;0.000;8.000
7.700;0.000;7.700
6.913;0.000;6.913
8.000;0.000;8.000
8.125;0.000;8.125
7.375;0.000;7.375
7.925;0.000;7.925
8.025;0.000;8.025
7.875;0.000;7.875
7.075;0.000;7.075
7.300;0.000;7.300
7.475;0.000;7.475
6.913;0.000;6.913
5.813;0.000;5.813
3.588;0.000;3.588
3.825;0.000;3.825
3.463;0.000;3.463
3.150;0.000;3.150
2.875;0.000;2.875
2.925;0.000;2.925
2.975;0.000;2.975
3.063;0.000;3.063
3.050;0.000;3.050
3.038;0.000;3.038
3.063;0.000;3.063
3.050;0.000;3.050
3.175;0.000;3.175
3.125;0.000;3.125
2.888;0.000;2.888
2.900;0.000;2.900
2.888;0.000;2.888
2.900;0.000;2.900
3.000;0.000;3.000
2.938;0.000;2.938
2.975;0.000;2.975
2.975;0.000;2.975
2.975;0.000;2.975
3.375;0.000;3.375
3.588;0.000;3.588
3.363;0.000;3.363
3.075;0.000;3.075
3.075;0.000;3.075
3.050;0.000;3.050
3.088;0.000;3.088
3.675;0.000;3.675
3.750;0.000;3.750
3.088;0.000;3.088
3.013;0.000;3.013
3.013;0.000;3.013
3.038;0.000;3.038
3.063;0.000;3.063
3.388;0.000;3.388
3.525;0.000;3.525
3.475;0.000;3.475
3.150;0.000;3.150
3.038;0.000;3.038
3.075;0.000;3.075
3.025;0.000;3.025
3.088;0.000;3.088
3.075;0.000;3.075
3.500;0.000;3.500
4.225;0.000;4.225
5.850;0.000;5.850
4.963;0.000;4.963
5.913;0.000;5.913
5.963;0.000;5.963
5.850;0.000;5.850
7.025;0.000;7.025
6.950;0.000;6.950
8.163;0.000;8.163
9.888;0.000;9.888
8.925;0.000;8.925
9.325;0.000;9.325
10.125;0.000;10.125
10.313;0.000;10.313
9.900;0.000;9.900
9.725;0.000;9.725
9.650;0.000;9.650
8.525;0.000;8.525
8.813;0.000;8.813
8.363;0.000;8.363
7.388;0.000;7.388
8.525;0.000;8.525
7.263;0.000;7.263
7.675;0.000;7.675
5.963;0.000;5.963
3.713;-0.150;3.563
2.238;-0.513;1.725
1.488;-0.275;1.213
1.125;-0.413;0.713
1.888;-0.038;1.850
6.813;0.000;6.813
7.375;0.000;7.375
6.525;0.000;6.525
6.625;0.000;6.625
7.313;0.000;7.313
7.838;0.000;7.838
8.025;0.000;8.025
8.250;0.000;8.250
8.888;0.000;8.888
9.413;0.000;9.413
8.363;0.000;8.363
9.450;0.000;9.450
8.163;0.000;8.163
9.138;0.000;9.138
8.713;0.000;8.713
8.625;0.000;8.625
9.050;0.000;9.050
9.063;0.000;9.063
8.063;0.000;8.063
4.488;0.000;4.488
3.913;0.000;3.913
3.138;0.000;3.138
3.175;0.000;3.175
3.100;0.000;3.100
3.075;0.000;3.075
3.063;0.000;3.063
3.088;0.000;3.088
2.988;0.000;2.988
3.038;0.000;3.038
3.338;0.000;3.338
3.413;0.000;3.413
3.413;0.000;3.413
3.275;0.000;3.275
3.250;0.000;3.250
3.325;0.000;3.325
3.188;0.000;3.188
3.063;0.000;3.063
3.075;0.000;3.075
3.200;0.000;3.200
3.013;0.000;3.013
3.075;0.000;3.075
3.088;0.000;3.088
3.125;0.000;3.125
3.200;0.000;3.200
3.175;0.000;3.175
3.288;0.000;3.288
3.363;0.000;3.363
3.338;0.000;3.338
3.325;0.000;3.325
3.313;0.000;3.313
3.350;0.000;3.350
3.350;0.000;3.350
3.150;0.000;3.150
2.950;0.000;2.950
3.050;0.000;3.050
3.025;0.000;3.025
2.988;0.000;2.988
3.038;0.000;3.038
2.938;0.000;2.938
2.913;0.000;2.913
2.963;0.000;2.963
3.238;0.000;3.238
3.150;0.000;3.150
3.213;0.000;3.213
3.025;0.000;3.025
3.175;0.000;3.175
3.275;0.000;3.275
4.250;0.000;4.250
5.513;0.000;5.513
3.288;0.000;3.288
2.263;0.000;2.263
3.488;0.000;3.488
3.825;0.000;3.825
4.088;0.000;4.088
4.313;0.000;4.313
5.500;0.000;5.500
6.238;0.000;6.238
6.300;0.000;6.300
6.038;0.000;6.038
4.575;0.000;4.575
4.138;0.000;4.138
3.388;0.000;3.388
2.213;0.000;2.213
0.800;0.000;0.800
1.938;-0.100;1.838
0.400;-0.513;-0.113
0.100;-1.300;-1.200
1.625;-0.238;1.388
2.350;0.000;2.350
2.475;0.000;2.475
1.800;0.000;1.800
3.788;0.000;3.788
2.813;0.000;2.813
3.125;0.000;3.125
3.813;0.000;3.813
3.038;0.000;3.038
2.025;-0.088;1.938
4.000;0.000;4.000
4.213;0.000;4.213
5.500;0.000;5.500
5.738;0.000;5.738
5.625;0.000;5.625
6.863;0.000;6.863
5.925;0.000;5.925
7.200;0.000;7.200
7.088;0.000;7.088
6.875;0.000;6.875
7.813;0.000;7.813
